Comment_ID,Review_ID,Helpfullness Ratio,Author,Comment,Thumbs Up!,Thumbs Down,Question & Answer,Product Feature Discussion,"Irrelevant (e.g., arguing with one another)"
36,1,0.14285715,David Brea,"Hi Ron,  I am new to Kindle, and ordered a Kindle 3 wifi.  You said: ""Viewing PDFs is better on Kindle 3 than on Kindle 2 or nook, but still not that great. You have to zoom in on part of the page and pan around to read the page, which is slightly cumbersome;"" That fears me, because, read pdf its the mayor reason to buy a kindle. Have you a video on youtube using a recent format pdf, like used by acrobat reader 9? I hope you can help me to not to return it, because, i use to read pdf for programming technical reference on my career and work,  and search, pictures, notes, are strongest reasons to wait until ""kindle 3"" and preorder it.  Also, of course, it let me read without turn on my Desktops or laptops when main power is off at the entire hood with a power inverter and car bateries.  Thanks for your review. David Brea.",1,0,1,1,0
37,1,0.625,Shop Wise,"Great review! I hope Amazon will provide the option to replace battery in the next K4? I don't want to have a few down days in the distance future when the battery does not charge well when it is old. Amazon, are you listening?",1,0,0,1,0
38,1,1,A. S. Goodrich,"Ron - First off, that was a great review that was much appreciated. Being as you have 2 Kindles I was hoping you could answer a question. Do both Kindles sync to the same e-book library so that you and your wife can read the same book on each of your Kindles OR do you have to purchase a separate copy of the e-book for each Kindle? Thanks again for all of the useful information.",1,0,1,0,0
39,1,0.95454544,Ron Cronovich,"Dear Elizabeth:  I totally share your concern.  However, I am less worried after reading some of the comments here.  First, it may be possible to replace your own battery, and at lower cost than sending your kindle back to Amazon.  One of the first comments is from someone who found a website with information on this, and I have heard of people very safely replacing batteries in their ipods (when Apple says the ipod battery is not user-replaceable and Apple mails you a refurbished ipod when you send yours in for a replacement - just like Amazon and the Kindle).    More importantly perhaps, another comment convinced me that we may never need to replace our batteries.  The batteries in Kindles are rated for a huge number of recharge cycles, equivalent to something like 6 years of usage.  I'll be lucky if I keep my kindle for 3 years before giving into the temptation of buying a newer model.    Others have said they like the idea of getting a factory refurbished kindle for the price of a new battery - I personally disagree, I would rather keep my own kindle, but I can see how people would find this appealing.  And since Amazon is a highly reputable company, I cannot imagine they would ship a scratched up, stained kindle to you and called it ""refurbished.""    In any case, my message here is that we probably don't need to stress too much about the battery issue.  I am grateful to the commenters above who pointed out all of this information.",0,0,0,1,0
40,1,0.2857143,Maggie in Waco,"Thank you for taking the time to use each of these e-readers and writing up this article in such detail. I am researching both Nook & Kindle for the second time to decide which of these e-readers I want to purchase. It's a difficult decision for me as I like the flexibility of Nook for using it in the ePub format & also it takes Amazon's format for books. Flexibility is really important for me, however, I'm still in the process of researching & deciding.",1,0,0,1,0
41,1,1,J. Whitford,Thank you for this wonderful review. I was going into my local Barnes and Noble this week to play with a Nook. I had already played with my best friend's Kindle 2 and she has a Kindle 3 on back order. Having your review has helped me chose Kindle 3.,1,0,0,0,0
42,1,0.9411765,Ron Cronovich,"Dear Maggie in Waco, the Nook absolutely does not accept Amazon's format.  There is free software called calibre that converts e-books between the major formats, so long as they are not copy-protected.  It has gotten good reviews.  Unfortunately, Amazon's e-books for Kindle are copy-protected, so there's simply no way to read Kindle books on the Nook.   But calibre will allow Kindle owners to read e-books in the ePub format if they are not copy-protected.  If you're interested, you can learn about calibre here:   http://calibre-ebook.com/about",0,0,0,1,0
43,1,1,Carlos E. Irigoyen,"What about capacity, how many gigabytes of info can have. Thanks Carlos E. Irigoyen",0,0,1,0,0
44,1,0.5,Zero Gravity,I really like your review. You provided a lot of great points to both sides and that is really helpful.,1,0,0,0,0
45,1,0.75,Helena A. Stanzione,"i was devided on which one to buy.  I have the original kindle and pre-ordered the kindle3 with the idea of going into B&N to try the nook, but after this review, no need for it anymore. Thanks for helping me make up my mind,  I cant wait to get my K3 on sept 10 2010.",1,0,0,0,0
46,1,0.8,MeThinkest,"Your review was helpful, but you didn't mention much about the DX. I have a DX and am wondering the differences between DX and Kindle 3. I'm guessing the DX3 is reader enabled, where as the others are not. I don't know if this is right. I know if my eyes or tired or I really want to finish a reading, but need to go somewhere, I can turn on the reader endabled and have it read to me with the DX. I did have to return my Kindle DX once for a problem, but their customer service was awesome and returned the kindle back to me promptly at no charge.",1,0,1,1,0
47,1,1,Ron Cronovich,"Dear MeThink, I titled my review ""kindle vs. nook"" because I focused on the comparison between the 6"" kindle and nook, which I think is what most people are deciding between.  I didn't discuss the DX much because it costs more than twice as much as the 6"" kindle, so I figured few people would be deciding between them.    Amazon's web page for the Kindle 3 clearly states that it has the same ""text-to-speech"" feature that the DX has.  I have not used this feature on either device, so I didn't comment on it in my (already lengthy) review.   For those people deciding between a DX and Kindle 3, I'll answer your questions if I can, but first please see whether Amazon's website has the info you seek.  Forgive me if I have trouble keeping up with all the questions here, I work long hours and don't always get to my email in a timely fashion.    Thanks for reading my review, and good luck!",0,0,1,1,0
48,1,0,William K. Henry,Thanks for all your help.   We really appreciate it.,1,0,0,0,0
49,1,0,K. G. Bates,Thanks for this very useful review and analysis.,1,0,0,0,0
50,1,0.8333333,Emily T. Busby,Thanks.  I have an 1st generation Kindle which I love.  I am looking to purchase one for my father who is being to have difficulty reading due to deteriorating eyesight.  Anyone know if the text-to-speech function has improved on the newer model?,1,0,1,0,0
51,1,0,J.Rivers,What an excellent review this is!!!  Great job Mr. Ron!!!,1,0,0,0,0
52,1,1,David C. Hodges,"I agree with you about the Nook and the color screen it was fun for the first couple of weeks but it does wear off and the battery life on the nook is really not as good as the Kindle, on the Nook I can only read maybe 6 or 7 hours yes I read alot and on my Kindle the battery will last me at least 2 days before I have to plug it back in, I am hoping that the Kindle 3's battery life will last me longer I know it says a month but I don't plan to get that much time out of it since I do read 24/7 . I also own the Kindle 1 which I passed on to one of my daughters and the Kindle 2 which I will pass on to my other daughter, that way I get to have the Kindle 3 for me! I hope you dont make them any better I don't have any more daughters to pass them on to and I dont know what excuse I will be able to tell my husband so I can get a newer and better model. The only problem that I have had with the Kindle is that the screen freezes up and then I have to send it back, I have had to do this at least 3 times good thing I purchased the warranty. I do have to say though that Amazon is very good about getting me a new one I always have it within 2 days, with as much as I spend on them it is a good thing.",1,0,0,1,0
53,1,1,Bryan,"This is an excellent review: very informative and easy to understand. I especially appreciate how you focused on the strengths and weaknesses of each device. I am a nook owner and would never give it up: it's also an MP3 player for me, and I need the card slot support, plus I also buy eBooks from Kobo as well as B&N. But my father uses a Kindle, because as a pure, simple to use reading device it's a better choice. Each one has its tradeoffs. I'm just glad we have competition: notice how much Kindle has improved since the nook arrived on the scene? And how B&N has had to push to implement new features on the nook?",1,0,0,1,0
54,1,1,Deena Z. Freed,"I have a graphite K3 with the Green Apple case and I think it looks fantastic. I definitely agree that there is a visual illusion that the text seems to pop out more on the graphite (though my white one is K2). Also the inside of the lighted case is almost the same exact graphite color as the K3 itself so it looks really sharp. I could have gone for the Burnt Orange too, but the Steel Blue was actually too muted for me and I returned it. Also the lighted cover is fantastic. The K3 is so light that you really dont' feel hindered by it. I really truly love it. Feel like the K3 is how the Kindle should always have been!!!",1,0,0,1,0
55,1,0.14285715,Ozgoddess,You made me laugh after a few hours of researching lol thanks,1,0,0,0,0
56,1,1,vondi,"I wish I had read this before I bought a nook then found that as I was not ""physically located""  in the USA it was useless. Unfortunately I did not discover this fact until I was back home.  I feel I was misled by the B & N sales people.  I would not recommend nook to international buyers.  I am now ordering a kindle.  Thank you for the very useful review",1,0,0,1,0
57,1,0,R. Bonds,"I agree, great review and I also can't wait to get my Kindle either. Now have about 6 days or so before I have it in my hands. Good luck with your purchase and again Great review you guys!!!",1,0,0,0,0
58,1,0.6666667,J-Ro,Thank you for your in depth research and feedback. You made it easy for me to make my decision on what to order now that these readers are more affordable. I will be ordering my Kindle today.,1,0,0,0,0
59,1,0.33333334,Linda C. Bishop,Thank you for this review.  It had an impact on my decision and I bought the Kindle.,1,0,0,0,0
60,1,1,Linnea Capps,"You have taken so much time to organize a truly helpful review, not only of various Kindle editions, but also comparing it to the nook.  Thank you - having written a few of these myself, I know the kind of effort and organization it took to get this review ready to publish in the Amazon community. Thanks for all your effort - it is really one of the most informative reviews I've ever read.",1,0,0,0,0
61,1,0,Ron Cronovich,"Donna, there are a number of well-written reviews here from K1 owners who have upgraded to the new K3, who are sharing their experiences and their impressions of the new model.  It would be well worth spending a few minutes wading through the reviews here to find them.    Good luck!  -Ron",0,0,1,0,0
62,1,0,C. Merritt,"Great review!    What about the comparison to the Kindle 3 with free 3G is it worth the extra $50?    My software knowledge needs to be updated by about 10 years, I am going to have to go to Verizon to set up the internet on my phone, what about the Kindle?",1,0,1,0,0
63,1,0,C. Merritt,"Thank you, I read the information suggested by Arts & HistoryFan it was great info, and you are absolutely right!",1,0,0,0,0
64,1,1,John S.,"Great comparison, Ron. And a lot of very informative comments.  I currently own a Nook and it works well. BUT, there isn't any way to zoom in on an image in an e-book.  This is a real pain when you hit tiny tables or maps...actually any image at all. My question to you all is Does the K3 have that ability? If so, then sign me up.   Thanks",1,0,1,1,0
65,1,0.6666667,Joy Kelley,"For me, with my Kindle, the thing I love most is that I have nearly any book I want to read at my fingertips, and if I think of it, I can be reading it within 60 seconds.  To me, that one feature makes Kindle the preferable ereader.  And I can access my Kindle books from my Macbook, my Iphone or my Kindle at any time, because of the Archive feature.  For the person who was asking about whether it would be worth the extra $50 to get the 3G instead of the Kindle 3, I would say that would depend on whether you have wi-fi at home.  If so, you can purchase any books you want to read while at home (or in another wi-fi area), or you can just order books from your amazon account, and when you're in a wi-fi area they will upload to your Kindle.  I have a Kindle 2 which can access the Kindle store from anywhere, but since I can order books with my IPhone or my macbook and they go the archive, I can still access them on the Kindle 3 my husband just bought for my birthday.  It hasn't arrived yet - when I get it next week (hopefully), I will post a review.  I'm so excited - I already got the case for it, and it's so small!  It will fit easily in any of my purses, so will be much more convenient for traveling or just going to the doctor's office.  I love Kindle!!!",0,0,1,1,0
66,1,1,Joy Kelley,"Hey, you should definitely get a Kindle 3G or a Kindle 3.  The battery life issue isn't really an issue to me because I've had my Kindle 2 for a year, and still have a great battery life.  My husband just bought me a Kindle 3 for my birthday, and from the reviews I've read, the battery lasts even longer.  You can read for a month without recharging.  Too bad Amazon doesn't have an actual store you can walk into to check out a Kindle - you should have someone with a Kindle 2 or 3 show theirs to you so you can make an honest evaluation before purchasing a NOOK.",0,0,0,1,0
67,1,0,K. Scearce,"So you can change your own battery when needed?? If I have to send it and then receive someone elses in return, I'm going to pass on this! Thanks for the info!",1,0,1,0,0
68,1,0,John S.,Thanks for the info on 'exploding' images. That's exactly what I needed to know. My new K3 should be arriving next week :),1,0,0,1,0
69,1,1,Arts&HistoryFan,"Elizabeth,   So that a freeze doesn't happen again?  That's like saying a PC will never freeze again or a Mac will hever require a force-set.      But the paper clip or anything else was for the Kindle 1 that had a recessed reset-button that is like the ones you find on your cablemodem or other electronic items today that let you reset a unit easily and effectively.  This was not actually on the battery at all of course.    It was at the back of the unit when you slide the cover off. There was no way you could ""muck it up,"", using the reset/restart  hole in the back (marked ""reset"" but it is like pressing the SMALL re-start button of  a PC rather than the main 'on' 'off' or power button.    In two years, my K1 has not failed me but in the beginning I used to push many buttons all at once, which can confuse it so it would just stop accepting 'commands' ...  I learned not to be so impatient after the beginning and it didn't happen again.      The Kindle warrantys and Amazon Kindle customer service are extremely flexible.       Since this thread includes info on the Nook, it has had a history of reboots and freezes.   Today Amazon tech support put out a fix apparently for slowdowns of page turns outdoors -- many of them reported as taking as long as a full second to turn a page, reportedly.   A few took longer but the ones that had to wait for a full second said it was not earthshaking but concerned them and was irritating. It could be that we just get too used to half-second page turns.    The fix has apparently cured that already with most of those who were upset.",0,0,0,1,0
70,1,0,Therese,How are these with reading outside in sunlight?  Great Review!! Thank you for taking the time.,1,0,1,0,0
71,1,0,Joanie L. Carter,hi ive read your post it has a lot of great information in it i am shocked amazon wont give you back your own machine that needs to be changed. i ordered a kendle 3 yesterday for my mate the one with the phone built in i am pleased to know its easier to read than the others. could a person buy their own replacement battery for their kindle three.JOANIE CARTER,1,0,1,1,0
72,1,0.5,Japheth N. Parker,Thank you very much for posting this! I needed something like this that was clear and precise. All of the other resources were too much to handle. Thanks again !:),1,0,0,0,0
73,1,0.15384616,Reginald Kenneth  Dwight,"your so full of crap. Why are you comparing the K3 to the nook? Just read all the negative reviews of the K3--- it totally sucks! Th lettering is rubbing off, it shuts down when in sunlight ...the battery life is not what is advertised.....",0,1,0,1,0
74,1,0,LINKETTE,"Thank you Ron for putting such a good review on line for the Kindle.  I did all of my research based on paper, I did the web searches and compared what the ""companies"" had to say about their product, I didn't have anything to touch and use to make my decision with.  Then, the holidays rolled around and I finally got to see and touch the nook.  As soon as the sales guy walked up to me and asked if I had any questions...My husband said ""Oh no, here we go"" and walked off.  I saved all of us the embarassment but, I am still very happy with my Kindle 2 purchase and still would not trade it for anything the ""competators"" have on the market right now.  I would enjoy seeing some variation of an ""upgrade"" program.  I do like the Kindle 3 or ""latest generation"", which ever you prefer but, I am still quite content with the product I have and I still have warranty on it so, I'm in no rush.  Thanks again Ron!!!",1,0,0,1,0
75,1,0,Mary Tubbs,"Julian, thank you for your information.  It helped to clarify some of my questions, but since I don't understand electronics that much I am still confused.  Regarding your statement:    ""The 3G model is potentially more convenient than the Wi-Fi+3G model because 3G is the technology used in cell-phones, which has a wider coverage than Wi-Fi. On the other hand, if you want to send your own material to your Kindle, you will have to pay to use the 3G service, whereas Wi-Fi transfers are free. Purchases are transferred free via 3G.""  If you have Wi-Fi +3G isn't that actually better than just having 3G, since 3G has wide coverage?  Additionally what material of my own might I want to send to a Kindle as you state I would have to pay to use 3G.  Additionally if I have Wi-Fi in my home, do I need 3G?  What would the advantage be?  You say that purchases are transferred free via 3G, when books, etc are purchased with just Wi-Fi are there costs for those transfers.  Thanks for any help you can give!",0,0,1,0,0
76,1,1,Arts&HistoryFan,"Mary,    The models are either WiFi-only or 3G+WiFi ... so Julian's advice that it costs (about 15c) to send a personal doc direct to your Kindle device is about when you CHOOSE to do it that way (if one doesn't have a WiFi system at home that you connect with etc so you send it via 3G though there are other free ways).    A personal doc is like a Word doc you or someone wrote, which you'd like to have on your Kindle -- or a PDF info sheet or manual that you'd like to have on the Kindle or any number of interesting pieces on the web that you'd like put on your Kindle (there are various ways).    When you send such a document to [yourself]@free.kindle.com after approving your regular email to send to your Kindle device, that means Amazon will convert it (if necessary) and send you a link to download it to your computer -- so you can move it to your Kindle 'documents' folder via the USB cable that is part of your power cord -- AND they send a copy via WiFi as well, which if you are set up with WiFi at home or office or use Starbucks' or McDonald's will go to your Kindle at no cost when you log on to a WiFi network somewhere.  3G is more like a cellphone and it's all around you if there is AT&T cellphone service in your area.    It's never 3G instead of WiFi.  The only 3G model ALSO has WiFi.    Any book you purchase from Amazon has no added charges for delivery to your Kindle.  Those are more public docs or books.    A personal doc is something you created or found or that was given to you outside Amazon.  Some of us have ToDo lists or recipies and other things on our Kindles and they're personal docs also.    To see the difference between WiFi-only and 3G/WiFi model capabilities, you can read my piece at http://bit.ly/kw3gwifi which some have told me is pretty clear.  I hope so.   - Andrys",0,0,1,1,0
77,1,0,token,"J. Mabry, this is a good idea with the library for the Nook. Can I go on each state's library site to sign up for a library card eventhough, don't belong to that state or is there a certain site go on?  Thanks for this info!!",0,0,1,0,0
